gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model
ENSG00000160791.12,CCR5,-8.046790279254568,-1.271863222829208,8.499364419296953e-16,0.012564577563858172,0.0425971422156645,0.000149213988846012,NA,18,19,19
ENSG00000105397.9,TYK2,4.2966342023007895,0.7828880722496568,1.7341100052102954e-05,0.010901031833808587,0.0467466161134171,7.71887847029933e-05,NA,8,10,10
ENSG00000172215.5,CXCR6,-3.771439953844781,-0.5670695157635013,0.00016230821742340754,0.01789373624752927,0.0219856335347497,0.00713364144143581,NA,14,16,16
ENSG00000177981.6,ASB8,-3.7644686444138222,-0.5728437318381177,0.00016690360878898142,0.016618093962398536,0.0241521317728524,0.00484173278426831,NA,11,13,13
ENSG00000120913.19,PDLIM2,3.740027666091919,2.168916692147595,0.00018400000160785152,0.0019766089244343276,0.0351132824901327,0.000691027246565136,NA,1,2,2
ENSG00000186868.11,MAPT,-3.635748906521942,-0.3033146356423547,0.00027717421572164897,0.07656394040773562,0.207532359123426,9.41960311932853e-19,NA,18,27,27
ENSG00000117500.8,TMED5,-3.581481899245589,-0.8833629993199489,0.0003416508120460393,0.010438291402147207,0.0291060448392186,0.00194299922171104,NA,10,13,13
ENSG00000262539.1,RP11-259G18.3,-3.557253163802289,-0.21905156767814368,0.00037475295833921604,0.1245487566757606,0.512416915248427,8.49240354138853e-59,NA,24,38,38
ENSG00000204650.9,CRHR1-IT1,-3.5527045647266253,-0.16301353300524965,0.0003812924267958106,0.220400383937554,0.649976816352645,1.64784785528703e-88,NA,131,157,157
ENSG00000153253.11,SCN3A,-3.5340992850728807,-0.7941857456782129,0.000409167347353502,0.008968565342373157,0.0412151506189849,0.000211314603462507,NA,15,19,19
ENSG00000111860.9,CEP85L,3.4704866990705248,0.3221966848587281,0.0005195160724925221,0.05467246708086959,0.049528061336564,4.75707255584925e-05,NA,45,48,48
ENSG00000100490.5,CDKL1,-3.4674018231663104,-0.5342040144845145,0.0005255156712245223,0.02006869438635531,0.0932606436471229,1.25823376090493e-08,NA,15,21,21
ENSG00000267123.1,CTD-2357A8.3,-3.4349358827718253,-0.16845559983136055,0.0005926940433785832,0.21983759523379545,0.290162249416012,1.69886868065452e-27,NA,51,60,60
ENSG00000115339.9,GALNT3,3.421793411993705,0.4980131522207502,0.0006220956191238608,0.02697148113290166,0.0462003235318484,8.81901311152236e-05,NA,29,31,31
ENSG00000262500.1,RP11-259G18.2,-3.4144177728813068,-0.300423838479336,0.0006391848378229925,0.06418728101564816,0.484483906972152,2.18652533169399e-53,NA,15,28,28
ENSG00000232629.4,HLA-DQB2,-3.397837349897356,-0.09996776784114418,0.0006792078878489081,0.4130877544447806,0.52417243336092,1.73105205527012e-60,NA,32,39,39
ENSG00000241837.2,ATP5O,3.377517463066133,0.14995629172647928,0.000731433085924328,0.20080468324736936,0.316583118067589,3.4513069819059e-31,NA,20,20,20
ENSG00000089127.8,OAS1,-3.350028570111497,-0.4671824926137195,0.0008080322555132725,0.027255067684025497,0.0364447294248654,0.00053970712775119,NA,18,20,20
ENSG00000214425.2,LRRC37A4P,3.335047955603036,0.12499318015083802,0.0008528469023665916,0.3611163411808177,0.663218985763356,1.4817993463371e-92,NA,82,91,91
ENSG00000096696.9,DSP,-3.311781879474367,-0.1763726865495736,0.0009270379473203745,0.21568329347299112,0.339432119301687,3.56240198246221e-34,NA,15,16,16
ENSG00000269282.1,AC024257.1,3.2901320673680625,0.5089625776641721,0.0010014036977666525,0.017225798994007148,0.0191430359055271,0.0129599956971963,NA,14,15,15
ENSG00000240399.1,RP1-228P16.1,3.2854221877266214,0.13906735382244595,0.0010182966435711405,0.20626724306481484,0.363960561467922,2.43147354227575e-36,NA,30,38,38
ENSG00000184319.11,AC002055.4,-3.2848651861432714,-0.39829109253165274,0.0010203117909520175,0.03884734162410124,0.109588886433897,3.62360114181955e-10,NA,4,9,9
ENSG00000229195.1,AC009495.4,3.2744211605640774,0.3195463836597229,0.0010587867914927807,0.057676876997320485,0.0902312612725548,3.14385925031937e-08,NA,10,12,12
ENSG00000147364.12,FBXO25,3.2686619860119825,2.417978148072398,0.0010805730485432485,0.0010452143892281565,0.0413256926214419,0.000216283323173303,NA,7,12,12
ENSG00000113263.8,ITK,3.2407684984074634,0.6135248194631524,0.001192079503365241,0.017865500274457054,0.0300568435816519,0.00167271494614408,NA,12,13,13
ENSG00000102804.10,TSC22D1,3.2227106018434295,0.2689870137483791,0.001269837784113852,0.06151047692088632,0.0359810812194935,0.000560482810609507,NA,63,72,72
ENSG00000131697.13,NPHP4,3.1894177999069795,0.20406347522327498,0.0014255967594119009,0.0950147262970597,0.268615424506789,9.07629229827782e-25,NA,32,39,39
ENSG00000153774.4,CFDP1,3.1778048432150174,0.43467793017255474,0.0014839459896539005,0.02439969717796465,0.0550520077247917,1.72375274868985e-05,NA,16,21,21
ENSG00000142002.12,DPP9,-3.164849942491261,-0.2616175580818997,0.0015516295078214348,0.060521380641618945,0.184449385251316,1.57072782502855e-16,NA,13,15,15
ENSG00000230107.1,CTA-126B4.7,-3.1578899903450215,-0.5410899360468268,0.0015891551558450342,0.016780025234743277,0.0846573628406018,6.40270618758983e-08,NA,12,15,15
ENSG00000268545.1,VN1R107P,3.128409992268883,0.6649850060242902,0.0017575483174651844,0.009310617350152733,0.0152879179349638,0.0257195464493434,NA,13,13,13
ENSG00000090266.8,NDUFB2,3.092671333801861,0.7743492070835216,0.0019836369078675246,0.010044513436540975,0.0175622651279243,0.0167276763964528,NA,6,17,17
ENSG00000225119.3,LINC00999,-3.0613274090416756,-0.29509323707439306,0.002203579906190415,0.037335471210280434,0.05687285628852,1.22154093296415e-05,NA,34,42,42
ENSG00000151967.14,SCHIP1,-3.048394920904569,-0.29540690656973617,0.002300673580469232,0.043296442216219325,0.0390679858930883,0.000284013102235075,NA,42,47,47
ENSG00000196735.7,HLA-DQA1,3.0471145866468694,0.15978100638497034,0.002310496134327315,0.15305546766588818,0.519129858888805,8.28189439614234e-60,NA,24,32,32
ENSG00000069493.10,CLEC2D,-3.0466385554891002,-0.21633694019159258,0.0023141579664989207,0.07696734141629041,0.0913011534472222,5.3557581712475e-09,NA,54,62,62
ENSG00000168569.7,TMEM223,-3.046608142366341,-0.21769722301117814,0.0023143920975946253,0.1070689417316307,0.0858454524115479,6.4586653154107e-08,NA,51,58,58
ENSG00000100994.7,PYGB,-3.041901981837652,-0.30641044156864583,0.002350884333223492,0.04082365980867398,0.0933158577968422,1.27576012468502e-08,NA,6,6,6
ENSG00000168268.6,NT5DC2,3.0211017762700325,0.2885531596550332,0.002518566883186909,0.042387928157759686,0.0673284295922371,1.69556256698661e-06,NA,31,36,36
ENSG00000154640.10,BTG3,-3.0192893612293874,-0.36525541945065215,0.0025336841053379064,0.04890398505791814,0.104359118619697,1.60368535450285e-09,NA,7,7,7
ENSG00000263503.1,RP11-707O23.5,-3.0133530430141264,-0.38865551130505827,0.0025837814563171887,0.034780774571034574,0.533864465381789,4.64316949168851e-62,NA,15,33,33
ENSG00000243335.4,KCTD7,-3.0050909248845317,-0.8454437339402606,0.002655014681146864,0.008569876359277286,0.0200720134892422,0.010183705307761,NA,13,15,15
ENSG00000179813.2,FAM216B,-3.002114915625177,-0.6066944132595953,0.0026811094499059494,0.009531535373464264,0.0208568044053769,0.0086953785739583,NA,4,4,4
ENSG00000267270.1,AC139100.2,-2.987679059015166,-0.26851348685225634,0.002811045745340172,0.05902781772393133,0.0302464470501268,0.00150223884313284,NA,32,36,36
ENSG00000124614.9,RPS10,2.9831257654682166,0.316577008368557,0.002853207259059162,0.02242985050557621,0.0185920475325927,0.0121257269649041,NA,23,25,25
ENSG00000162913.9,C1orf145,2.969737319634034,0.4325273061477792,0.002980544924775658,0.02453476832062663,0.136328825418803,3.50900848789801e-12,NA,11,15,15
ENSG00000250535.1,STK19P,2.966409784693984,0.15650218618401726,0.0030129874151636634,0.11592975735148671,0.26880957409503,1.20680653761242e-24,NA,30,38,38
ENSG00000100344.6,PNPLA3,-2.9519606046711253,-0.5216640383080134,0.0031576321397695437,0.01832907920411981,0.0192810844600755,0.0105624091209045,NA,14,15,15
ENSG00000196670.9,ZFP62,2.9091943733662853,0.6738944659596492,0.003623614915455231,0.008083934417992152,0.204713078425044,6.96967887044127e-19,NA,13,21,21
ENSG00000168300.9,PCMTD1,2.8928369855789082,0.2384970832315494,0.003817793885802198,0.06699284170236579,0.103106399527854,2.67023405604387e-09,NA,33,37,37
ENSG00000232411.1,AC009495.3,2.8917918106385234,0.2866163380348153,0.0038305168332836096,0.05224392487472848,0.129685915992713,1.21087893063559e-11,NA,17,19,19
ENSG00000182150.11,ERCC6L2,-2.8852994405072017,-0.3077636997483597,0.003910415292595128,0.030526068012558985,0.0466561747514098,7.69208908501512e-05,NA,27,29,29
ENSG00000186152.6,LILRP1,2.8815676700821946,0.39609924653618617,0.003957022556293688,0.034392828297439455,0.400942137932175,4.26518975365513e-41,NA,42,59,59
ENSG00000076662.5,ICAM3,-2.879580373884283,-0.5690165012066541,0.003982047843440007,0.008889767886751394,0.0317479770143334,0.00114332132920928,NA,2,2,2
ENSG00000169570.5,DTWD2,2.87258230267074,0.6978479435319428,0.004071320157128282,0.006043183948788389,0.0753872640253652,2.61662762962617e-07,NA,2,5,5
ENSG00000185303.11,SFTPA2,2.86484526713704,0.4126031031371903,0.00417213052203057,0.02487453304657231,0.0309697700816987,0.00148852693344166,NA,20,24,24
ENSG00000162944.6,RFTN2,-2.853609651159713,-0.4400948943484318,0.004322560778734637,0.023599892763121792,0.0967465713719564,7.22260928228543e-09,NA,19,24,24
ENSG00000105376.4,ICAM5,-2.848759889602661,-0.4414051318169692,0.004388999042754424,0.01473123632985141,0.0549263452427073,1.48561035844641e-05,NA,1,1,1
ENSG00000272636.1,DOC2B,-2.8443356199421337,-0.6276873586391298,0.004450414274326524,0.017714849689130445,0.0358669842661046,0.000585480041834684,NA,8,9,9
ENSG00000197124.7,ZNF682,2.8391940510637044,0.2245416288351373,0.004522764335026089,0.06488367436034395,0.101568774757364,1.00143887084991e-09,NA,30,36,36
ENSG00000157224.11,CLDN12,2.8381454410236926,0.507413597924448,0.004537650121086207,0.01143163484770566,0.020895853308246,0.00789894354146124,NA,11,13,13
ENSG00000164237.4,CMBL,2.823797575407798,0.20497534048357485,0.004745834774929412,0.07050111419599973,0.134973588690066,1.16055645087793e-12,NA,12,14,14
ENSG00000073605.14,GSDMB,-2.7943040310983362,-0.20092156144289872,0.0052011554038517375,0.07322140215142187,0.130731861490214,9.44515691869179e-12,NA,24,26,26
ENSG00000273172.1,AC108004.2,-2.788606575939901,-0.5156230941273677,0.005293532712307835,0.025340484718202633,0.0592679854278633,7.65694940266749e-06,NA,5,5,5
ENSG00000110042.3,DTX4,-2.759574193113779,-0.27699038522005287,0.005787674343302496,0.053249575903421456,0.123796874696299,3.5417364980655e-11,NA,24,26,26
ENSG00000197128.7,ZNF772,-2.749399824146878,-0.19723542974079394,0.00597045095558024,0.0853716173534741,0.136517914327735,1.17676820724462e-12,NA,22,23,23
ENSG00000105136.15,ZNF419,2.7486687855585292,0.16604137178508813,0.005983781796747677,0.1266852057009708,0.112527426822774,1.22383633569629e-10,NA,66,78,78
ENSG00000183662.6,FAM19A1,-2.7428266078368666,-0.44338227754624937,0.006091284032354137,0.02163007715137217,0.0714798792050174,6.97748446697177e-07,NA,9,10,10
ENSG00000213443.2,RP11-75L1.2,-2.737242114422144,-0.12706610436908022,0.006195667567794095,0.1912692051243664,0.275790643969709,5.70158344362709e-26,NA,39,41,41
ENSG00000263603.1,CTD-2349P21.5,2.7352679465677734,0.32011445754164886,0.006232951637650286,0.035634358080275694,0.0505917136295829,4.01681048309509e-05,NA,20,30,30
ENSG00000118804.7,FAM47E-STBD1,2.728416915510225,0.1548324558178268,0.006363911933497853,0.1292996554575664,0.178408193071387,1.1890335221001e-16,NA,18,20,20
ENSG00000104689.5,TNFRSF10A,-2.72807402566141,-0.20491732247988825,0.00637053101265498,0.06761991790154204,0.168212124359069,1.58301212450227e-15,NA,7,10,10
ENSG00000189068.5,VSTM1,2.725732907720369,0.41141203518887476,0.006415889291104779,0.0303428915431323,0.203855550910292,9.95193739845108e-19,NA,4,5,5
ENSG00000117505.8,DR1,2.7225851306596627,0.6479623126171354,0.006477334256654963,0.00823965311635599,0.0997152977246305,5.41538634589382e-09,NA,7,14,14
ENSG00000092445.7,TYRO3,2.7007037609725337,0.14740549658414415,0.00691929383947237,0.17976501285808474,0.278965660516413,3.18522530975111e-26,NA,11,12,12
ENSG00000108379.5,WNT3,-2.6870432118097156,-0.3281003072050429,0.007208762619795436,0.0347697587054101,0.108523920265727,9.15769462259027e-10,NA,15,20,20
ENSG00000099821.9,POLRMT,2.6864714391873665,0.31100230281758207,0.00722111214562512,0.04493516044329716,0.0239371094679286,0.00486546078966887,NA,22,31,31
ENSG00000130304.12,SLC27A1,2.6811339390522266,0.6030250591131497,0.007337314168877892,0.008243409373451376,0.0255491864769766,0.00388591857813746,NA,2,2,2
ENSG00000170909.9,OSCAR,2.671958446502685,0.4803020127326033,0.0075409985946955325,0.02172032739689394,0.251449143971572,5.30507314867229e-23,NA,1,2,2
ENSG00000242578.1,RP11-469J4.3,2.6637177051031458,0.2453625177770687,0.007728238657516419,0.0842637199674328,0.118622227264623,1.38988934941658e-10,NA,8,8,8
ENSG00000181027.6,FKRP,-2.6629404237401286,-0.11891734297750231,0.007746112714793312,0.19564826472600116,0.302730502644307,4.45141447093872e-29,NA,32,38,38
ENSG00000242220.2,TCP10L,-2.6579038722277133,-0.23601898911067012,0.007862831672199441,0.06623233065993533,0.0772258664721863,1.95947283238208e-07,NA,32,35,35
ENSG00000115520.4,COQ10B,2.656378485924613,0.5276597752965054,0.007898491064921118,0.009935787073686557,0.0250678750739991,0.00428128365039139,NA,5,5,5
ENSG00000176715.11,ACSF3,2.6461109205959965,0.22678492315321097,0.00814231127281626,0.07398535311323193,0.103520301268827,2.15620499116755e-09,NA,30,37,37
ENSG00000167528.8,ZNF641,-2.645321984187502,-0.3673976510017102,0.00816132168330791,0.018972964629216545,0.0988769272705739,3.82895321423047e-09,NA,10,12,12
ENSG00000256229.3,ZNF486,2.644390438068145,0.2740746668046718,0.008183819592385889,0.05590285212173021,0.094369870008963,1.1952250333813e-08,NA,27,35,35
ENSG00000108639.3,SYNGR2,2.6391670703887935,0.6651691076071007,0.008311001139860786,0.005687610431117291,0.0420528796580458,0.000168392770875085,NA,1,1,1
ENSG00000144746.6,ARL6IP5,-2.6317629671063756,-0.1629499746932046,0.00849431026185643,0.1627328140841287,0.247468171592949,5.45196486036074e-23,NA,15,17,17
ENSG00000197937.8,ZNF347,-2.6294448882765704,-0.643540644129962,0.008552439309109412,0.009810699525390564,0.0251290201752221,0.00389050817198618,NA,14,17,17
ENSG00000213988.5,ZNF90,2.6167503094816915,0.18717061110671457,0.008877125107808331,0.12122533141064502,0.210748364569357,3.57350423155218e-19,NA,24,25,25
ENSG00000189339.7,SLC35E2B,2.6157655873141072,0.2523978541005792,0.008902765414546435,0.07607453502765206,0.12372281414257,2.81532239135884e-11,NA,22,33,33
ENSG00000196683.6,TOMM7,2.6153917425329745,0.10124118056778518,0.008912516937690658,0.29966552214138287,0.373604586189098,3.0229291567095e-37,NA,37,43,43
ENSG00000131037.10,EPS8L1,-2.61416296050998,-0.28860639057946946,0.008944636249014691,0.053761604909086144,0.124101332113762,4.92031234778424e-11,NA,14,16,16
ENSG00000167914.6,GSDMA,2.602625185213785,0.09659531467563907,0.009251303337884705,0.27104425023976164,0.375482420246019,6.41474716063796e-38,NA,35,41,41
ENSG00000149527.13,PLCH2,2.600807193415581,0.19808773485428058,0.009300470877420475,0.120737268646576,0.165003026310117,3.9948258356319e-15,NA,18,21,21
ENSG00000181873.8,IBA57,-2.6004137974252663,-0.31105803566235846,0.00931114089724828,0.024931912152125268,0.0713651576363501,4.85626328080563e-07,NA,10,11,11
ENSG00000264514.1,RP11-720L2.4,2.5975915616142227,0.3394475026914756,0.009388008752635606,0.033164115680353025,0.0162796461759167,0.0214889422271433,NA,12,14,14
ENSG00000239388.4,ASB14,2.591196684256989,0.9741260488828816,0.009564281150855992,0.002780564269311633,0.0122865009874912,0.0441881750512934,NA,10,13,13
ENSG00000124171.4,PARD6B,2.5885420914869517,1.3784147072692439,0.009638316682822551,0.001466409625507717,0.0575367512200964,1.03928893477653e-05,NA,4,5,5
ENSG00000260257.1,RP5-1085F17.3,2.5851090017366594,0.30086458731218113,0.009734821620499592,0.029473494805868847,0.0873222097808516,4.2160302487375e-08,NA,8,9,9
ENSG00000260128.2,ULK4P2,-2.580749517433432,-0.47318530884825116,0.009858608380614295,0.012320925131919094,0.0208839600324285,0.00850613774722994,NA,6,7,7
ENSG00000180537.8,RNF182,2.5726865885184798,0.504151136595511,0.01009125441193329,0.0172270310869186,0.0244993360905767,0.00433323704139941,NA,10,12,12
ENSG00000125388.15,GRK4,2.5694347823789996,0.09950918494179997,0.010186456364457235,0.22504507054520706,0.38176803333775,3.15719296344528e-38,NA,23,27,27
ENSG00000057704.6,TMCC3,2.567794537387267,0.20149496082722823,0.010234779939333102,0.06165309697216553,0.098884745019699,3.52376726880915e-09,NA,23,28,28
ENSG00000235374.1,SSR4P1,-2.5656505376825707,-0.5372960027047452,0.01029825238020982,0.01054247458192182,0.0191679818957656,0.0113635380171937,NA,2,2,2
ENSG00000179344.12,HLA-DQB1,2.5650039029686007,0.12453804037002356,0.01031746444433757,0.1651535521121436,0.633758711961018,2.59102735802401e-86,NA,34,40,40
ENSG00000173421.12,CCDC36,-2.559437008746873,-0.23231081683036636,0.010484185416228019,0.05158040327184053,0.132869796123332,5.24856065332127e-12,NA,21,28,28
ENSG00000172057.5,ORMDL3,-2.558300319311115,-0.2091690991396497,0.010518520917417843,0.05536292807879856,0.142945980736696,2.53885773697692e-13,NA,8,8,8
ENSG00000109944.6,C11orf63,2.5519679896408567,0.5251359234394891,0.010711635961495825,0.010782349084500136,0.032678408617024,0.000961936575277258,NA,7,11,11
ENSG00000069424.10,KCNAB2,-2.5420741164702805,-0.8152890617504054,0.011019680346197318,0.006443605048575681,0.0240492591791073,0.00499004996704943,NA,2,2,2
ENSG00000130684.9,ZNF337,-2.5347840519088503,-0.24240871703181135,0.01125166640417078,0.040241674330897176,0.0918025872371203,1.43139066849705e-08,NA,14,15,15
ENSG00000271680.1,RP11-564A8.8,-2.5343697855556813,-0.2540207008713255,0.01126497856199445,0.04363356091248749,0.0419896261564833,0.000201104902378387,NA,40,43,43
ENSG00000100253.8,MIOX,2.5303169372115026,1.172444883668251,0.011395953515411507,0.0036332678630834744,0.0280688607847801,0.0025064232314978,NA,5,8,8
ENSG00000011347.5,SYT7,2.526283278918401,0.5616548337778324,0.01152764877221725,0.0128823346373267,0.0174059787788594,0.0168148169593794,NA,12,14,14
ENSG00000272482.1,RP11-474O21.5,-2.5194759919906087,-0.6934540784609851,0.011752965502576892,0.009531302844263597,0.0154777072823609,0.022600074406092,NA,21,24,24
ENSG00000124788.13,ATXN1,2.519131313895913,0.28922371494965504,0.011764477320446743,0.037845050085292556,0.0309898403490801,0.00133174206259266,NA,37,40,40
ENSG00000117676.9,RPS6KA1,2.515432838190377,0.719163281066275,0.011888632621035513,0.009255515767381898,0.0216303880384682,0.00760426324948569,NA,3,3,3
ENSG00000116459.6,ATP5F1,2.5099800905356235,0.26776749193591526,0.01207379686929857,0.042623304899487666,0.0726279016348901,7.69092201591684e-07,NA,36,39,39
ENSG00000261589.1,CTC-462L7.1,2.4991555496136058,0.18535432058400989,0.012448965478701333,0.07252382092540878,0.136635454814126,1.13294694192672e-12,NA,23,23,23
ENSG00000251474.2,RPL32P3,-2.49466116858824,-0.28593755711444074,0.012607745639753112,0.038398905260048216,0.192450925791622,4.0700354585533e-17,NA,13,16,16
ENSG00000127952.12,STYXL1,2.493562550704269,0.11332106187782844,0.012646829911358652,0.26772782581392296,0.384519934231584,5.05600729789499e-40,NA,14,15,15
ENSG00000237541.3,HLA-DQA2,-2.4895356095071213,-0.09103062127129148,0.012791010429900856,0.30305345690038943,0.648302646845202,1.7456041839131e-88,NA,39,49,49
ENSG00000166997.3,CNPY4,-2.4838126223086947,-0.23059330503974698,0.012998418421520606,0.07013464716247952,0.0735461690262553,6.06840765100731e-07,NA,43,52,52
ENSG00000174749.5,C4orf32,2.4792775723633858,0.2493569294902795,0.013164881146149835,0.04481603108627284,0.0526820615133616,2.95525297933965e-05,NA,23,29,29
ENSG00000122085.12,MTERFD2,-2.4724613281297834,-0.17754750242325298,0.01341862307216288,0.07239501726442382,0.162325161135957,1.08708383095846e-14,NA,16,17,17
ENSG00000227775.3,RP1-283E3.4,-2.4710758407592617,-0.4280375021644101,0.01347072470753192,0.01788198257370681,0.0316388776363112,0.00127053557085538,NA,13,16,16
ENSG00000066230.6,SLC9A3,-2.4694427502726803,-0.10867067939128183,0.01353236700138575,0.23319649924575228,0.461740217893802,1.44278050035636e-50,NA,29,36,36
ENSG00000166750.5,SLFN5,-2.4679504282476663,-0.1339342534537889,0.01358891366981488,0.12273568499644961,0.211508281357267,1.45200153499583e-19,NA,17,17,17
ENSG00000270427.1,NRBF2P5,2.4663443565368657,1.4345883120599872,0.013650003634678057,0.0021600493990975886,0.0121587110224571,0.0446672826089858,NA,1,1,1
ENSG00000122783.12,C7orf49,-2.464265217859482,-0.19161216283810473,0.013729447820071643,0.05950980193174793,0.16354899684971,1.23381966584396e-14,NA,19,23,23
ENSG00000135374.5,ELF5,2.4625910560320343,0.17728758212593587,0.013793714292030475,0.08390396357727056,0.075488042015169,2.52016867145265e-07,NA,41,50,50
ENSG00000136315.3,RP11-84C10.2,-2.461579693412682,-0.3195333163588395,0.013832666306701616,0.028738691253002966,0.0721868429520113,7.47895468248479e-07,NA,13,17,17
ENSG00000225492.2,GBP1P1,-2.461349842754815,-0.6156309501520072,0.01384153239806015,0.005793955405008588,0.0475777797246063,4.43528283700286e-05,NA,11,17,17
ENSG00000108963.13,DPH1,2.4599447962260674,1.1910564274477384,0.013895838801412898,0.002895724241301935,0.13518189566708,2.60176627836703e-12,NA,5,9,9
ENSG00000232871.4,SEC1P,-2.458504820439469,-0.3047721896172192,0.013951690354430918,0.032450164412209694,0.0469104268449139,6.88647566057435e-05,NA,23,29,29
ENSG00000272800.1,RP11-438L19.1,2.4581177105707344,0.3327388563342486,0.013966738730621604,0.02511871997646884,0.0121239789979296,0.0444033890292487,NA,33,37,37
ENSG00000231742.1,RP11-112L6.4,2.457464766759819,0.1319467915375997,0.013992153511482771,0.15541932985602144,0.287590645710866,9.63743232915246e-27,NA,12,12,12
ENSG00000198961.5,PJA2,-2.453134402007571,-0.43845471072736036,0.014161741450678729,0.019832558003196207,0.0559845966529741,1.28126047485262e-05,NA,16,23,23
ENSG00000198690.5,FAN1,2.450187830420323,0.33661173700742164,0.014278171067771173,0.028092870031819036,0.0645677678907086,2.22103783966022e-06,NA,10,11,11
ENSG00000173145.7,NOC3L,-2.4489115305013414,-0.16775211303018867,0.014328863805015865,0.07499718828574851,0.162628344467116,1.37148278365015e-14,NA,17,18,18
ENSG00000272783.1,RP13-1016M1.2,2.445669160704164,0.33780996538671315,0.014458360527952074,0.03039889928991688,0.0830062307197184,7.69406864978932e-08,NA,10,12,12
ENSG00000123901.4,GPR83,-2.4430779001907994,-0.28456726178525255,0.014562593528391425,0.02800837398600643,0.0227938367457944,0.00662637226653396,NA,17,19,19
ENSG00000259863.1,SH3RF3-AS1,2.4409344202566725,0.28471683824181926,0.014649314737388322,0.027571178718957527,0.0392368895219208,0.000262598094082344,NA,12,13,13
ENSG00000260123.1,RP11-326A19.4,2.4406351806119657,0.2263963315024975,0.014661457559038698,0.06784490835956941,0.0295511483380101,0.00167995236731223,NA,54,59,59
ENSG00000185404.12,SP140L,-2.4337655394330824,-0.16492745684257737,0.014942670651229659,0.09192960176699744,0.161049225501758,1.339484587344e-14,NA,44,53,53
ENSG00000117133.6,RPF1,-2.4299685372292044,-0.18753092191137732,0.015100133585698141,0.08643766060034797,0.0119348213717118,0.0492302375252808,NA,65,75,75
ENSG00000162688.11,AGL,-2.429066712499035,-0.9478328781835214,0.015137746635427645,0.004036914611204464,0.0169406362499487,0.0184387561328919,NA,5,11,11
ENSG00000114923.12,SLC4A3,-2.4281980500967317,-0.3118322703686348,0.015174054549627026,0.04665823028710985,0.108508445918489,8.34581932013854e-10,NA,10,10,10
ENSG00000168427.7,KLHL30,2.4273737425212274,0.336699699240841,0.015208579433587584,0.042297386419183805,0.0981014595676293,5.99567861147526e-09,NA,30,37,37
ENSG00000172687.9,ZNF738,-2.426831371124049,-0.17611812307614713,0.015231333555183857,0.07530175960622673,0.175878876991806,6.92970503621852e-16,NA,28,38,38
ENSG00000080854.10,IGSF9B,-2.4180256789684442,-0.2334516837026119,0.01560497551912839,0.05110047249711591,0.0880109018857128,3.97302854728825e-08,NA,16,19,19
ENSG00000269120.1,AL133318.1,-2.4137537084768357,-0.5362505529054512,0.0157891311632798,0.016399883913367025,0.0535602188188478,2.53833308444439e-05,NA,2,2,2
ENSG00000142599.13,RERE,2.411946101506047,0.6407862794812016,0.015867627040640948,0.007270437731993432,0.0131059633790716,0.0388200025770687,NA,15,20,20
ENSG00000062524.11,LTK,2.4110883718786518,0.08391252616360219,0.015904994118057972,0.4877882985509877,0.603185484413735,6.63664288355639e-77,NA,23,28,28
ENSG00000141956.9,PRDM15,2.4088560058542394,0.20489276963913394,0.0160026103674891,0.08391458472064453,0.194049777193742,9.46628956883046e-18,NA,12,13,13
ENSG00000248994.1,RP11-259O2.1,-2.407026967020765,-0.17168516925554947,0.01608298222591781,0.081221742250796,0.0872564030068657,4.76531504155899e-08,NA,63,75,75
ENSG00000117569.14,PTBP2,-2.406971578908368,-0.2574239688994204,0.01608542162295045,0.03147302633908064,0.0844158402559453,3.37091776151408e-08,NA,17,21,21
ENSG00000166793.6,YPEL4,2.4019429134166015,0.21045712719307938,0.016308253211767564,0.0479818540326855,0.159892747681263,3.04684747243007e-14,NA,11,13,13
ENSG00000105219.4,CNTD2,2.398872910588419,0.3056999285581141,0.016445621452326233,0.039913243727189615,0.0252133581050075,0.00407027292183873,NA,43,48,48
ENSG00000125812.11,GZF1,2.3988497193581497,1.2284802769551955,0.01644666300759289,0.0014970146121490722,0.0358985486375606,0.000561716405428499,NA,2,3,3
ENSG00000088305.14,DNMT3B,2.395978484190756,0.5829461830941083,0.016576063304757117,0.011073294166662504,0.0211021998778679,0.00778767051260764,NA,6,6,6
ENSG00000100890.11,KIAA0391,-2.3942907016944446,-0.09523701622672767,0.016652544520463757,0.2552551718354827,0.375545161437127,2.37865548944639e-37,NA,46,56,56
ENSG00000177757.1,FAM87B,2.3936865329742427,6.251528931141278,0.016679997411057114,9.071120823248268e-05,0.0476030833546607,7.53795126371536e-05,NA,1,6,6
ENSG00000075131.5,TIPIN,2.3930475842018675,0.13536986698694792,0.016709073904781463,0.1173715004901891,0.226608181130284,1.484602806369e-20,NA,28,30,30
ENSG00000118855.14,MFSD1,2.390695852978273,0.3022074485152863,0.016816477279441806,0.02917420824538065,0.0354650377062408,0.000601270278270757,NA,18,21,21
ENSG00000161395.8,PGAP3,-2.3864897069338,-0.26750355026097367,0.01701008352999757,0.030249885648777463,0.100760607881566,2.72246409252076e-09,NA,7,9,9
ENSG00000229390.1,MICD,-2.3862398191696954,-0.32024282553674066,0.017021647013303286,0.028664953559955304,0.115742129241756,1.09815072651253e-10,NA,30,44,44
ENSG00000152128.13,TMEM163,-2.384691142188113,-0.6813358151512815,0.017093465550537812,0.010326084928738231,0.0368517971923513,0.000482201972106682,NA,4,5,5
