gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model
ENSG00000160223.12,ICOSLG,1.222938981539717,0.3741294771299387,0.22135274380935843,0.004834775566891344,0.0616366087532305,5.8810759185159e-06,NA,7,24,24
ENSG00000168032.4,ENTPD3,-1.222754637665624,-0.18144946494424444,0.2214223834797978,0.036478496446673045,0.0129629329010804,0.0406229164031963,NA,46,56,56
ENSG00000088832.10,FKBP1A,-1.222672250496736,-0.14434388738834467,0.22145351199453633,0.0733725398101931,0.045327491977971,0.00010446637740626,NA,53,68,68
ENSG00000116704.6,SLC35D1,-1.222570453547557,-0.30393461170766883,0.22149197847778856,0.015571786699677265,0.0207185786698095,0.00937560620571508,NA,15,19,19
ENSG00000184465.11,WDR27,-1.2216315412970604,-0.10092698359838279,0.22184699533250563,0.06071779572796395,0.101851096104862,2.5095791921123e-09,NA,27,30,30
ENSG00000115944.10,COX7A2L,1.2215403459961547,0.3835868047763305,0.2218814993549303,0.0048398616709046036,0.0423326706027842,0.00016694779651261,NA,5,7,7
ENSG00000128607.9,KLHDC10,-1.221398335692051,-0.19910196151716264,0.2219352370435339,0.022535124659399115,0.0706847635190241,9.77068995108592e-07,NA,4,5,5
ENSG00000172650.8,AGAP5,1.2213521861790546,0.30275444975102517,0.22195270234766173,0.00945037313273216,0.0216740318729927,0.00744851626097315,NA,8,9,9
ENSG00000267508.1,ZNF285,1.2211537194731201,0.1278096209778261,0.22202782338309568,0.058934794710331945,0.186459311680989,4.59951371258516e-17,NA,14,18,18
ENSG00000070808.11,CAMK2A,-1.2210865035205043,-0.18683714966164355,0.2220532692185584,0.028100467373996605,0.0612323297857375,5.02482895764422e-06,NA,15,17,17
ENSG00000085982.9,USP40,-1.220927477012965,-0.17108388208747685,0.22211347994491615,0.03400603284654191,0.0627454909406788,3.9298278973245e-06,NA,7,8,8
ENSG00000269893.2,SNHG8,1.220573264601912,0.07334604780542384,0.22224763411752135,0.14268714244909264,0.190559663999827,2.33315747280015e-17,NA,44,48,48
ENSG00000131791.6,PRKAB2,1.2200736059560717,0.16554866859881798,0.22243697313775557,0.033256747374616195,0.0248827158489,0.00371920313735236,NA,16,29,29
